Server ID,Sponsor,Server Name,Timestamp,Distance,Ping,Download,Upload,Share,IP Address
30663,Salina Spavinaw Telephone Co.,"Salina, OK",2020-10-26T05:05:00.346023Z,172.72148226375714,27.867,16674245.47106444,14118806.196948018,,139.78.243.128
30663,Salina Spavinaw Telephone Co.,"Salina, OK",2020-10-26T05:10:24.109552Z,172.72148226375714,28.055,16657651.384733682,15932224.38977818,,139.78.243.128
30663,Salina Spavinaw Telephone Co.,"Salina, OK",2020-10-26T05:15:47.802393Z,172.72148226375714,27.893,16553812.105055328,15144101.690307757,,139.78.243.128
1260,BTC Broadband,"Bixby, OK",2020-10-26T05:21:11.786317Z,107.73478853209001,27.934,16687320.838999161,13828754.233284416,,139.78.243.128
30663,Salina Spavinaw Telephone Co.,"Salina, OK",2020-10-26T05:26:36.176830Z,172.72148226375714,27.833,16663706.992029475,14268708.58550198,,139.78.243.128
30663,Salina Spavinaw Telephone Co.,"Salina, OK",2020-10-26T05:31:59.865764Z,172.72148226375714,28.027,16383341.044193406,16010767.198271452,,139.78.243.128
30663,Salina Spavinaw Telephone Co.,"Salina, OK",2020-10-26T05:37:23.554647Z,172.72148226375714,28.068,16608970.449917417,15787313.14397803,,139.78.243.128
20013,OneNet,"Tulsa, OK",2020-10-26T05:42:47.149743Z,96.36979543178545,27.904,16171595.444309821,15419513.576182134,,139.78.243.128
1260,BTC Broadband,"Bixby, OK",2020-10-26T05:48:16.293565Z,107.73478853209001,27.839,16504369.776670905,15644029.109114612,,139.78.243.128
20013,OneNet,"Tulsa, OK",2020-10-26T05:53:40.053226Z,96.36979543178545,27.664,11414734.764584683,15701195.723910397,,139.78.243.128
8253,"Chickasaw Telecommunications Services, Inc.","Stillwater, OK",2020-10-26T05:59:13.650726Z,2.201631926437134,28.315,16215366.96751756,15531057.445203474,,139.78.243.128
17751,OneNet,"Oklahoma City, OK",2020-10-26T06:04:37.295455Z,81.53229805048018,28.195,16794089.19713498,15779256.55644412,,139.78.243.128
11232,Sprint,"Enid, OK",2020-10-26T06:10:01.159487Z,80.02316648825371,27.8,16598093.256409777,15596832.743576707,,139.78.243.128
11232,Sprint,"Enid, OK",2020-10-26T06:15:24.836783Z,80.02316648825371,27.577,16926403.326586302,15280189.260341149,,139.78.243.128
11232,Sprint,"Enid, OK",2020-10-26T06:20:48.728040Z,80.02316648825371,27.662,16712007.463248316,15813711.848333182,,139.78.243.128
8253,"Chickasaw Telecommunications Services, Inc.","Stillwater, OK",2020-10-26T06:26:12.321500Z,2.201631926437134,28.974,15909286.155439336,15441530.600122476,,139.78.243.128
8253,"Chickasaw Telecommunications Services, Inc.","Stillwater, OK",2020-10-26T06:31:36.041403Z,2.201631926437134,28.755,15969715.230444144,13814784.537311204,,139.78.243.128
8253,"Chickasaw Telecommunications Services, Inc.","Stillwater, OK",2020-10-26T06:36:59.855897Z,2.201631926437134,28.894,16621218.342471296,13595389.791994225,,139.78.243.128
8253,"Chickasaw Telecommunications Services, Inc.","Stillwater, OK",2020-10-26T06:42:23.630536Z,2.201631926437134,28.976,15947182.931374738,15199077.96276162,,139.78.243.128
8253,"Chickasaw Telecommunications Services, Inc.","Stillwater, OK",2020-10-26T06:47:47.235489Z,2.201631926437134,29.32,15895388.556078361,13654910.624995662,,139.78.243.128
11232,Sprint,"Enid, OK",2020-10-26T06:53:10.900407Z,80.02316648825371,27.851,16868975.855768804,14076889.85899738,,139.78.243.128
20013,OneNet,"Tulsa, OK",2020-10-26T06:58:34.530094Z,96.36979543178545,26.873,16726462.34749883,14045261.06433728,,139.78.243.128
20013,OneNet,"Tulsa, OK",2020-10-26T07:03:58.113769Z,96.36979543178545,27.023,16695594.41603783,13967238.270420277,,139.78.243.128
20013,OneNet,"Tulsa, OK",2020-10-26T07:09:21.638096Z,96.36979543178545,27.054,16783779.787889816,14149555.593832858,,139.78.243.128
30663,Salina Spavinaw Telephone Co.,"Salina, OK",2020-10-26T07:14:45.185335Z,172.72148226375714,27.897,16905250.738970757,15401999.582791144,,139.78.243.128
20013,OneNet,"Tulsa, OK",2020-10-26T07:20:08.752455Z,96.36979543178545,26.936,11599115.319807038,15787051.976813238,,139.78.243.128
30663,Salina Spavinaw Telephone Co.,"Salina, OK",2020-10-26T07:25:36.660836Z,172.72148226375714,27.914,16727844.615656463,15423742.42033183,,139.78.243.128
1260,BTC Broadband,"Bixby, OK",2020-10-26T07:31:00.148402Z,107.73478853209001,26.56,16654625.19582199,13246879.74498583,,139.78.243.128
30663,Salina Spavinaw Telephone Co.,"Salina, OK",2020-10-26T07:36:23.693826Z,172.72148226375714,27.857,16818355.54596353,15386314.409952277,,139.78.243.128
20013,OneNet,"Tulsa, OK",2020-10-26T07:41:52.273945Z,96.36979543178545,26.995,16280526.886988247,14076132.080155874,,139.78.243.128
30663,Salina Spavinaw Telephone Co.,"Salina, OK",2020-10-26T07:47:16.144360Z,172.72148226375714,27.876,15404808.019462788,15772137.842316044,,139.78.243.128
30663,Salina Spavinaw Telephone Co.,"Salina, OK",2020-10-26T07:52:40.515593Z,172.72148226375714,27.877,16651217.770143222,15424423.22050442,,139.78.243.128
20013,OneNet,"Tulsa, OK",2020-10-26T07:58:04.273962Z,96.36979543178545,26.954,16823697.32585655,15910452.77158168,,139.78.243.128
30663,Salina Spavinaw Telephone Co.,"Salina, OK",2020-10-26T08:03:28.058123Z,172.72148226375714,27.885,16614641.336775051,15292411.375452127,,139.78.243.128
20013,OneNet,"Tulsa, OK",2020-10-26T08:08:51.627175Z,96.36979543178545,26.924,16805419.169665854,15814626.954352427,,139.78.243.128
30663,Salina Spavinaw Telephone Co.,"Salina, OK",2020-10-26T08:14:15.210897Z,172.72148226375714,27.869,16753676.394437607,15536338.183522992,,139.78.243.128
20013,OneNet,"Tulsa, OK",2020-10-26T08:19:39.615870Z,96.36979543178545,26.791,16744631.181862097,15919234.015446126,,139.78.243.128
30663,Salina Spavinaw Telephone Co.,"Salina, OK",2020-10-26T08:25:03.147852Z,172.72148226375714,27.821,16862391.730745878,13753133.633870473,,139.78.243.128
20013,OneNet,"Tulsa, OK",2020-10-26T08:30:26.678356Z,96.36979543178545,26.87,16706871.894672258,15777534.54929071,,139.78.243.128
20013,OneNet,"Tulsa, OK",2020-10-26T08:35:50.267610Z,96.36979543178545,26.976,16729595.116613142,15729176.070443543,,139.78.243.128
30663,Salina Spavinaw Telephone Co.,"Salina, OK",2020-10-26T08:41:13.824520Z,172.72148226375714,27.868,15998425.201393679,13618839.234999463,,139.78.243.128
20013,OneNet,"Tulsa, OK",2020-10-26T08:46:37.953578Z,96.36979543178545,27.019,16756513.324830655,14251296.162789138,,139.78.243.128
20013,OneNet,"Tulsa, OK",2020-10-26T08:52:01.535051Z,96.36979543178545,26.928,16704530.517851802,15662714.373756515,,139.78.243.128
11232,Sprint,"Enid, OK",2020-10-26T08:57:25.094131Z,80.02316648825371,27.713,16771266.686913751,15236499.529228527,,139.78.243.128
11232,Sprint,"Enid, OK",2020-10-26T09:02:49.086012Z,80.02316648825371,27.661,16754870.949736113,15303197.528006312,,139.78.243.128
11232,Sprint,"Enid, OK",2020-10-26T09:08:12.676986Z,80.02316648825371,27.702,16783959.717345737,15708268.36496064,,139.78.243.128
11232,Sprint,"Enid, OK",2020-10-26T09:13:41.296236Z,80.02316648825371,27.678,16703275.790643537,15610044.580836035,,139.78.243.128
11232,Sprint,"Enid, OK",2020-10-26T09:19:09.977050Z,80.02316648825371,27.608,16776965.429011542,15312739.290431881,,139.78.243.128
8253,"Chickasaw Telecommunications Services, Inc.","Stillwater, OK",2020-10-26T09:24:39.041038Z,2.201631926437134,30.039,15977745.98687519,15485224.765982844,,139.78.243.128
11232,Sprint,"Enid, OK",2020-10-26T09:30:02.721717Z,80.02316648825371,27.678,16813966.602771148,15844824.739360904,,139.78.243.128
17751,OneNet,"Oklahoma City, OK",2020-10-26T09:35:26.393435Z,81.53229805048018,27.383,16704764.44515662,15169182.364160934,,139.78.243.128
11232,Sprint,"Enid, OK",2020-10-26T09:40:55.079409Z,80.02316648825371,27.579,16677496.023237452,15204460.050796408,,139.78.243.128
11232,Sprint,"Enid, OK",2020-10-26T09:46:18.761481Z,80.02316648825371,27.719,16919668.627036203,15272816.89231846,,139.78.243.128
8253,"Chickasaw Telecommunications Services, Inc.","Stillwater, OK",2020-10-26T09:51:42.661884Z,2.201631926437134,28.882,16652888.428647393,13884241.875296596,,139.78.243.128
11232,Sprint,"Enid, OK",2020-10-26T09:57:06.336646Z,80.02316648825371,27.707,16779382.453331392,15600449.450453246,,139.78.243.128
8253,"Chickasaw Telecommunications Services, Inc.","Stillwater, OK",2020-10-26T10:02:29.935403Z,2.201631926437134,29.858,16552133.090374744,13736837.642640391,,139.78.243.128
11232,Sprint,"Enid, OK",2020-10-26T10:07:53.824645Z,80.02316648825371,27.628,16751066.776990289,15829419.880005566,,139.78.243.128
11232,Sprint,"Enid, OK",2020-10-26T10:13:17.531894Z,80.02316648825371,27.675,16786242.898473524,14094502.445206461,,139.78.243.128
11232,Sprint,"Enid, OK",2020-10-26T10:18:41.167183Z,80.02316648825371,27.617,16765980.517897878,14627482.093090575,,139.78.243.128
11232,Sprint,"Enid, OK",2020-10-26T10:24:05.047369Z,80.02316648825371,27.616,16746009.302410673,15209112.173616793,,139.78.243.128
11232,Sprint,"Enid, OK",2020-10-26T10:29:28.785441Z,80.02316648825371,27.689,16700470.231387036,15167045.36130233,,139.78.243.128
11232,Sprint,"Enid, OK",2020-10-26T10:34:52.436119Z,80.02316648825371,27.787,16878831.871229373,15902325.878449105,,139.78.243.128
11232,Sprint,"Enid, OK",2020-10-26T10:40:21.071979Z,80.02316648825371,27.637,16813111.54820065,14182127.807182193,,139.78.243.128
11232,Sprint,"Enid, OK",2020-10-26T10:45:44.810363Z,80.02316648825371,27.729,16803288.1587655,14060069.468094373,,139.78.243.128
11232,Sprint,"Enid, OK",2020-10-26T10:51:08.478707Z,80.02316648825371,27.854,16793824.48904764,14078140.564729547,,139.78.243.128
8253,"Chickasaw Telecommunications Services, Inc.","Stillwater, OK",2020-10-26T10:56:32.079997Z,2.201631926437134,28.807,16487898.305996597,13751808.315578926,,139.78.243.128
11232,Sprint,"Enid, OK",2020-10-26T11:01:55.671083Z,80.02316648825371,27.644,16733582.55510368,13547228.954765603,,139.78.243.128
11232,Sprint,"Enid, OK",2020-10-26T11:07:19.324372Z,80.02316648825371,27.501,16886696.157880545,13452159.661091818,,139.78.243.128
11232,Sprint,"Enid, OK",2020-10-26T11:12:42.944237Z,80.02316648825371,27.602,16804911.995094545,14231010.085361347,,139.78.243.128
8253,"Chickasaw Telecommunications Services, Inc.","Stillwater, OK",2020-10-26T11:18:06.471251Z,2.201631926437134,29.01,16445205.419750357,13513711.556408165,,139.78.243.128
11232,Sprint,"Enid, OK",2020-10-26T11:23:30.173439Z,80.02316648825371,27.848,16427264.436862357,13473051.644730091,,139.78.243.128
8253,"Chickasaw Telecommunications Services, Inc.","Stillwater, OK",2020-10-26T11:28:54.363747Z,2.201631926437134,29.354,16274018.722129025,13535626.213682782,,139.78.243.128
11232,Sprint,"Enid, OK",2020-10-26T11:34:17.935725Z,80.02316648825371,27.681,16820656.17776745,12085311.733754227,,139.78.243.128
11232,Sprint,"Enid, OK",2020-10-26T11:39:41.562826Z,80.02316648825371,27.634,16751238.310282018,14112980.27354369,,139.78.243.128
11232,Sprint,"Enid, OK",2020-10-26T11:45:05.289479Z,80.02316648825371,27.595,16698678.31028958,14018114.287544595,,139.78.243.128
8253,"Chickasaw Telecommunications Services, Inc.","Stillwater, OK",2020-10-26T11:50:28.850252Z,2.201631926437134,29.044,16443428.430170268,13737365.20817014,,139.78.243.128
8253,"Chickasaw Telecommunications Services, Inc.","Stillwater, OK",2020-10-26T11:55:52.496456Z,2.201631926437134,29.002,16665498.179057337,13487700.07587042,,139.78.243.128
11232,Sprint,"Enid, OK",2020-10-26T12:01:16.086782Z,80.02316648825371,27.612,16746544.820526937,15185852.499039154,,139.78.243.128
11232,Sprint,"Enid, OK",2020-10-26T12:06:44.994278Z,80.02316648825371,27.515,16627164.892385675,15383431.068498673,,139.78.243.128
11232,Sprint,"Enid, OK",2020-10-26T12:12:13.777371Z,80.02316648825371,27.504,16762042.149988314,15677477.207860136,,139.78.243.128
8253,"Chickasaw Telecommunications Services, Inc.","Stillwater, OK",2020-10-26T12:17:37.352408Z,2.201631926437134,28.969,16126114.507243568,13396023.961059669,,139.78.243.128
11232,Sprint,"Enid, OK",2020-10-26T12:23:00.899913Z,80.02316648825371,27.606,16969311.362610478,12022198.098330956,,139.78.243.128
11232,Sprint,"Enid, OK",2020-10-26T12:28:25.587765Z,80.02316648825371,27.653,16792200.387961093,13989721.403866293,,139.78.243.128
8253,"Chickasaw Telecommunications Services, Inc.","Stillwater, OK",2020-10-26T12:33:49.538985Z,2.201631926437134,29.098,16123445.778261647,13876369.95135703,,139.78.243.128
8253,"Chickasaw Telecommunications Services, Inc.","Stillwater, OK",2020-10-26T12:39:13.114103Z,2.201631926437134,29.115,16760420.59240167,13735055.77928204,,139.78.243.128
11232,Sprint,"Enid, OK",2020-10-26T12:44:36.759707Z,80.02316648825371,27.792,16907583.22735024,14246061.199804222,,139.78.243.128
17751,OneNet,"Oklahoma City, OK",2020-10-26T12:50:05.379305Z,81.53229805048018,28.177,16733343.623684837,14046660.42321401,,139.78.243.128
8253,"Chickasaw Telecommunications Services, Inc.","Stillwater, OK",2020-10-26T12:55:29.325930Z,2.201631926437134,28.799,16086481.22842759,13736857.513231665,,139.78.243.128
11232,Sprint,"Enid, OK",2020-10-26T13:00:52.860260Z,80.02316648825371,27.884,16817823.522288527,14244332.557159211,,139.78.243.128
17751,OneNet,"Oklahoma City, OK",2020-10-26T13:06:16.451083Z,81.53229805048018,27.854,16619571.89314927,13984888.355140662,,139.78.243.128
11232,Sprint,"Enid, OK",2020-10-26T13:11:40.386328Z,80.02316648825371,30.573,16959327.36259253,13763668.419163162,,139.78.243.128
8253,"Chickasaw Telecommunications Services, Inc.","Stillwater, OK",2020-10-26T13:17:04.128729Z,2.201631926437134,28.929,16488279.145142026,12267331.47786657,,139.78.243.128
11232,Sprint,"Enid, OK",2020-10-26T13:22:27.767249Z,80.02316648825371,27.716,16818226.826841757,14092278.248183103,,139.78.243.128
11232,Sprint,"Enid, OK",2020-10-26T13:27:51.387179Z,80.02316648825371,27.771,16714420.83706896,13946524.487484245,,139.78.243.128
8253,"Chickasaw Telecommunications Services, Inc.","Stillwater, OK",2020-10-26T13:33:14.950165Z,2.201631926437134,29.046,16031730.185186807,11984568.907228174,,139.78.243.128
11232,Sprint,"Enid, OK",2020-10-26T13:38:39.007478Z,80.02316648825371,27.615,16792467.046686046,14071791.953915583,,139.78.243.128
11232,Sprint,"Enid, OK",2020-10-26T13:44:02.661832Z,80.02316648825371,27.816,16837083.032590788,13630663.157838376,,139.78.243.128
11232,Sprint,"Enid, OK",2020-10-26T13:49:26.641478Z,80.02316648825371,27.794,16765748.840374323,13420129.338290127,,139.78.243.128
11232,Sprint,"Enid, OK",2020-10-26T13:54:51.411379Z,80.02316648825371,27.48,16774478.696745655,14137144.608274681,,139.78.243.128
8253,"Chickasaw Telecommunications Services, Inc.","Stillwater, OK",2020-10-26T14:00:15.021662Z,2.201631926437134,29.294,16453586.685362523,13689574.892424531,,139.78.243.128
11232,Sprint,"Enid, OK",2020-10-26T14:05:38.663222Z,80.02316648825371,27.689,16826983.522423495,13262807.93867318,,139.78.243.128
11232,Sprint,"Enid, OK",2020-10-26T14:11:02.246561Z,80.02316648825371,27.587,16767588.857029377,12427065.505290726,,139.78.243.128
11232,Sprint,"Enid, OK",2020-10-26T14:16:30.992314Z,80.02316648825371,27.653,16896257.128628016,12711243.338741025,,139.78.243.128
11232,Sprint,"Enid, OK",2020-10-26T14:22:00.804527Z,80.02316648825371,27.699,16706885.188546512,12399090.636139652,,139.78.243.128
8253,"Chickasaw Telecommunications Services, Inc.","Stillwater, OK",2020-10-26T14:27:29.798241Z,2.201631926437134,30.199,15893015.446044678,13373741.9752387,,139.78.243.128
11232,Sprint,"Enid, OK",2020-10-26T14:32:53.382850Z,80.02316648825371,27.794,16629068.229510736,12859993.925252985,,139.78.243.128
11232,Sprint,"Enid, OK",2020-10-26T14:38:17.197962Z,80.02316648825371,27.588,16789133.671746656,12682258.142376855,,139.78.243.128
11232,Sprint,"Enid, OK",2020-10-26T14:43:40.919315Z,80.02316648825371,27.519,16695688.602007007,12271708.876250094,,139.78.243.128
11232,Sprint,"Enid, OK",2020-10-26T14:49:05.230506Z,80.02316648825371,27.812,16779870.469386786,12258914.716893842,,139.78.243.128
11232,Sprint,"Enid, OK",2020-10-26T14:54:29.346560Z,80.02316648825371,27.673,16852191.103663236,12316222.67194708,,139.78.243.128
11232,Sprint,"Enid, OK",2020-10-26T14:59:53.489345Z,80.02316648825371,27.822,16700766.446570974,12802360.210567102,,139.78.243.128
8253,"Chickasaw Telecommunications Services, Inc.","Stillwater, OK",2020-10-26T15:05:17.088442Z,2.201631926437134,28.914,16628216.905667877,12455925.538593275,,139.78.243.128
11232,Sprint,"Enid, OK",2020-10-26T15:10:40.730573Z,80.02316648825371,27.59,16774551.860243017,12256083.197218718,,139.78.243.128
11232,Sprint,"Enid, OK",2020-10-26T15:16:04.549510Z,80.02316648825371,27.714,16836413.144180723,12331335.855525745,,139.78.243.128
8253,"Chickasaw Telecommunications Services, Inc.","Stillwater, OK",2020-10-26T15:21:28.653693Z,2.201631926437134,28.814,16758723.958085723,12613491.398847627,,139.78.243.128
11232,Sprint,"Enid, OK",2020-10-26T15:26:52.289858Z,80.02316648825371,27.788,16930136.60274549,12453377.86619342,,139.78.243.128
8253,"Chickasaw Telecommunications Services, Inc.","Stillwater, OK",2020-10-26T15:32:16.243544Z,2.201631926437134,29.197,16335529.642143369,12576545.695580643,,139.78.243.128
11232,Sprint,"Enid, OK",2020-10-26T15:37:39.909257Z,80.02316648825371,27.571,16772800.077964786,11110255.089135645,,139.78.243.128
8253,"Chickasaw Telecommunications Services, Inc.","Stillwater, OK",2020-10-26T15:43:03.474880Z,2.201631926437134,29.297,16431788.901999112,12372160.595659453,,139.78.243.128
11232,Sprint,"Enid, OK",2020-10-26T15:48:27.765349Z,80.02316648825371,30.729,16924213.160257485,13650027.777004423,,139.78.243.128
8253,"Chickasaw Telecommunications Services, Inc.","Stillwater, OK",2020-10-26T15:53:51.404355Z,2.201631926437134,29.187,16489876.101908946,12564161.633871622,,139.78.243.128
8253,"Chickasaw Telecommunications Services, Inc.","Stillwater, OK",2020-10-26T15:59:20.037099Z,2.201631926437134,27.449,14822111.543669757,13704078.972313797,,139.78.243.128
11232,Sprint,"Enid, OK",2020-10-26T16:04:43.808307Z,80.02316648825371,27.808,16864118.803435884,12375508.573849756,,139.78.243.128
8253,"Chickasaw Telecommunications Services, Inc.","Stillwater, OK",2020-10-26T16:10:07.973978Z,2.201631926437134,30.066,16661100.391490588,12347852.68973886,,139.78.243.128
11232,Sprint,"Enid, OK",2020-10-26T16:15:31.738471Z,80.02316648825371,27.816,16785656.461208116,12708256.981948184,,139.78.243.128
11232,Sprint,"Enid, OK",2020-10-26T16:20:55.480334Z,80.02316648825371,27.494,16834925.120146386,11419568.36492915,,139.78.243.128
11232,Sprint,"Enid, OK",2020-10-26T16:26:19.503137Z,80.02316648825371,27.476,16810608.211276367,12141687.317605162,,139.78.243.128
11232,Sprint,"Enid, OK",2020-10-26T16:31:43.450030Z,80.02316648825371,27.692,16861843.892647017,12314960.54676172,,139.78.243.128
11232,Sprint,"Enid, OK",2020-10-26T16:37:07.211266Z,80.02316648825371,27.821,16721278.000652803,12425054.392952334,,139.78.243.128
11232,Sprint,"Enid, OK",2020-10-26T16:42:31.063283Z,80.02316648825371,27.674,16871030.037290532,12708923.214936443,,139.78.243.128
11232,Sprint,"Enid, OK",2020-10-26T16:47:54.638121Z,80.02316648825371,27.8,16695074.409411123,12607462.007827222,,139.78.243.128
8253,"Chickasaw Telecommunications Services, Inc.","Stillwater, OK",2020-10-26T16:53:18.311290Z,2.201631926437134,28.892,16709126.392575687,12037669.64482401,,139.78.243.128
8253,"Chickasaw Telecommunications Services, Inc.","Stillwater, OK",2020-10-26T16:58:42.435661Z,2.201631926437134,28.958,16453058.55305161,12614252.983807078,,139.78.243.128
11232,Sprint,"Enid, OK",2020-10-26T17:04:06.214682Z,80.02316648825371,27.666,16848174.37696553,12339717.444535967,,139.78.243.128
11232,Sprint,"Enid, OK",2020-10-26T17:09:30.212656Z,80.02316648825371,27.796,16802160.49151706,12317133.654939614,,139.78.243.128
16619,Cox - Oklahoma City,"Oklahoma City, OK",2020-10-26T17:14:54.297409Z,81.53229805048018,28.613,16741989.204877427,12590262.68838398,,139.78.243.128
11232,Sprint,"Enid, OK",2020-10-26T17:20:17.883453Z,80.02316648825371,27.619,16803727.763280213,12226894.317185013,,139.78.243.128
11232,Sprint,"Enid, OK",2020-10-26T17:25:41.909240Z,80.02316648825371,27.715,16691385.331379259,12137264.492796175,,139.78.243.128
11232,Sprint,"Enid, OK",2020-10-26T17:31:06.387561Z,80.02316648825371,27.634,16707224.735954221,12687174.1825896,,139.78.243.128
8253,"Chickasaw Telecommunications Services, Inc.","Stillwater, OK",2020-10-26T17:36:31.112679Z,2.201631926437134,29.004,9911917.624617945,12141446.928018246,,139.78.243.128
8253,"Chickasaw Telecommunications Services, Inc.","Stillwater, OK",2020-10-26T17:41:55.278303Z,2.201631926437134,29.064,16571531.832008341,12614809.059358729,,139.78.243.128
11232,Sprint,"Enid, OK",2020-10-26T17:47:19.262637Z,80.02316648825371,27.612,16779559.65106146,14072627.097161759,,139.78.243.128
8253,"Chickasaw Telecommunications Services, Inc.","Stillwater, OK",2020-10-26T17:52:43.478830Z,2.201631926437134,29.023,16581429.45218482,11605477.85956111,,139.78.243.128
8253,"Chickasaw Telecommunications Services, Inc.","Stillwater, OK",2020-10-26T17:58:07.066801Z,2.201631926437134,29.055,16695637.833557475,12229810.178145267,,139.78.243.128
11232,Sprint,"Enid, OK",2020-10-26T18:03:31.200676Z,80.02316648825371,30.996,16920622.646327533,13166271.780671434,,139.78.243.128
11232,Sprint,"Enid, OK",2020-10-26T18:08:59.944395Z,80.02316648825371,27.443,14443132.656299233,12421537.391589802,,139.78.243.128
8253,"Chickasaw Telecommunications Services, Inc.","Stillwater, OK",2020-10-26T18:14:16.800222Z,2.201631926437134,28.915,16139968.044203658,12757764.436973242,,139.78.243.128
8253,"Chickasaw Telecommunications Services, Inc.","Stillwater, OK",2020-10-26T18:19:40.454874Z,2.201631926437134,29.219,15746676.167613853,12181777.816089286,,139.78.243.128
11232,Sprint,"Enid, OK",2020-10-26T18:25:04.535244Z,80.02316648825371,27.607,15093767.6433375,10311206.778464444,,139.78.243.128
8253,"Chickasaw Telecommunications Services, Inc.","Stillwater, OK",2020-10-26T18:30:28.282848Z,2.201631926437134,28.856,16247444.037180739,12181930.214987712,,139.78.243.128
11232,Sprint,"Enid, OK",2020-10-26T18:35:51.916785Z,80.02316648825371,27.599,16723011.067005988,12653807.011114785,,139.78.243.128
11232,Sprint,"Enid, OK",2020-10-26T18:41:15.536242Z,80.02316648825371,27.606,16848914.67729284,11709236.462851234,,139.78.243.128
